cod_distr;nome_distr;ano;sexo;Idade;populacao
80001;Água Rasa;2000;Homens;00 a 04;2577
80001;Água Rasa;2000;Homens;05 a 09;2461
80001;Água Rasa;2000;Homens;10 a 14;2982
80001;Água Rasa;2000;Homens;15 a 19;3466
80001;Água Rasa;2000;Homens;20 a 24;3689
80001;Água Rasa;2000;Homens;25 a 29;3290
80001;Água Rasa;2000;Homens;30 a 34;3057
80001;Água Rasa;2000;Homens;35 a 39;3144
80001;Água Rasa;2000;Homens;40 a 44;2899
80001;Água Rasa;2000;Homens;45 a 49;2624
80001;Água Rasa;2000;Homens;50 a 54;2284
80001;Água Rasa;2000;Homens;55 a 59;1684
80001;Água Rasa;2000;Homens;60 a 64;1643
80001;Água Rasa;2000;Homens;65 a 69;1486
80001;Água Rasa;2000;Homens;70 a 74;1303
80001;Água Rasa;2000;Homens;75 e +;1449
80001;Água Rasa;2000;Mulheres;00 a 04;2257
80001;Água Rasa;2000;Mulheres;05 a 09;2508
80001;Água Rasa;2000;Mulheres;10 a 14;2897
80001;Água Rasa;2000;Mulheres;15 a 19;3512
80001;Água Rasa;2000;Mulheres;20 a 24;3804
80001;Água Rasa;2000;Mulheres;25 a 29;3410
80001;Água Rasa;2000;Mulheres;30 a 34;3380
80001;Água Rasa;2000;Mulheres;35 a 39;3682
80001;Água Rasa;2000;Mulheres;40 a 44;3461
80001;Água Rasa;2000;Mulheres;45 a 49;3179
80001;Água Rasa;2000;Mulheres;50 a 54;2693
80001;Água Rasa;2000;Mulheres;55 a 59;2245
80001;Água Rasa;2000;Mulheres;60 a 64;2244
80001;Água Rasa;2000;Mulheres;65 a 69;2104
80001;Água Rasa;2000;Mulheres;70 a 74;1929
80001;Água Rasa;2000;Mulheres;75 e +;2649
80001;Água Rasa;2005;Homens;00 a 04;2290
80001;Água Rasa;2005;Homens;05 a 09;2258
80001;Água Rasa;2005;Homens;10 a 14;2705
80001;Água Rasa;2005;Homens;15 a 19;2963
80001;Água Rasa;2005;Homens;20 a 24;3431
80001;Água Rasa;2005;Homens;25 a 29;3409
80001;Água Rasa;2005;Homens;30 a 34;3216
80001;Água Rasa;2005;Homens;35 a 39;3107
80001;Água Rasa;2005;Homens;40 a 44;2815
80001;Água Rasa;2005;Homens;45 a 49;2801
80001;Água Rasa;2005;Homens;50 a 54;2533
80001;Água Rasa;2005;Homens;55 a 59;1972
80001;Água Rasa;2005;Homens;60 a 64;1730
80001;Água Rasa;2005;Homens;65 a 69;1454
80001;Água Rasa;2005;Homens;70 a 74;1263
80001;Água Rasa;2005;Homens;75 e +;1689
80001;Água Rasa;2005;Mulheres;00 a 04;2110
80001;Água Rasa;2005;Mulheres;05 a 09;2291
80001;Água Rasa;2005;Mulheres;10 a 14;2571
80001;Água Rasa;2005;Mulheres;15 a 19;3007
80001;Água Rasa;2005;Mulheres;20 a 24;3472
80001;Água Rasa;2005;Mulheres;25 a 29;3480
80001;Água Rasa;2005;Mulheres;30 a 34;3604
80001;Água Rasa;2005;Mulheres;35 a 39;3488
80001;Água Rasa;2005;Mulheres;40 a 44;3385
80001;Água Rasa;2005;Mulheres;45 a 49;3344
80001;Água Rasa;2005;Mulheres;50 a 54;3012
80001;Água Rasa;2005;Mulheres;55 a 59;2578
80001;Água Rasa;2005;Mulheres;60 a 64;2408
80001;Água Rasa;2005;Mulheres;65 a 69;2066
80001;Água Rasa;2005;Mulheres;70 a 74;1910
80001;Água Rasa;2005;Mulheres;75 e +;3231
80001;Água Rasa;2010;Homens;00 a 04;2016
80001;Água Rasa;2010;Homens;05 a 09;2048
80001;Água Rasa;2010;Homens;10 a 14;2427
80001;Água Rasa;2010;Homens;15 a 19;2503
80001;Água Rasa;2010;Homens;20 a 24;3155
80001;Água Rasa;2010;Homens;25 a 29;3492
80001;Água Rasa;2010;Homens;30 a 34;3345
80001;Água Rasa;2010;Homens;35 a 39;3036
80001;Água Rasa;2010;Homens;40 a 44;2703
80001;Água Rasa;2010;Homens;45 a 49;2956
80001;Água Rasa;2010;Homens;50 a 54;2778
80001;Água Rasa;2010;Homens;55 a 59;2285
80001;Água Rasa;2010;Homens;60 a 64;1801
80001;Água Rasa;2010;Homens;65 a 69;1410
80001;Água Rasa;2010;Homens;70 a 74;1210
80001;Água Rasa;2010;Homens;75 e +;1947
80001;Água Rasa;2010;Mulheres;00 a 04;1949
80001;Água Rasa;2010;Mulheres;05 a 09;2068
80001;Água Rasa;2010;Mulheres;10 a 14;2256
80001;Água Rasa;2010;Mulheres;15 a 19;2547
80001;Água Rasa;2010;Mulheres;20 a 24;3133
80001;Água Rasa;2010;Mulheres;25 a 29;3510
80001;Água Rasa;2010;Mulheres;30 a 34;3802
80001;Água Rasa;2010;Mulheres;35 a 39;3265
80001;Água Rasa;2010;Mulheres;40 a 44;3274
80001;Água Rasa;2010;Mulheres;45 a 49;3476
80001;Água Rasa;2010;Mulheres;50 a 54;3330
80001;Água Rasa;2010;Mulheres;55 a 59;2928
80001;Água Rasa;2010;Mulheres;60 a 64;2554
80001;Água Rasa;2010;Mulheres;65 a 69;2004
80001;Água Rasa;2010;Mulheres;70 a 74;1865
80001;Água Rasa;2010;Mulheres;75 e +;3898
80001;Água Rasa;2015;Homens;00 a 04;2503
80001;Água Rasa;2015;Homens;05 a 09;1957
80001;Água Rasa;2015;Homens;10 a 14;1999
80001;Água Rasa;2015;Homens;15 a 19;2415
80001;Água Rasa;2015;Homens;20 a 24;2555
80001;Água Rasa;2015;Homens;25 a 29;3158
80001;Água Rasa;2015;Homens;30 a 34;3390
80001;Água Rasa;2015;Homens;35 a 39;3215
80001;Água Rasa;2015;Homens;40 a 44;2907
80001;Água Rasa;2015;Homens;45 a 49;2573
80001;Água Rasa;2015;Homens;50 a 54;2794
80001;Água Rasa;2015;Homens;55 a 59;2587
80001;Água Rasa;2015;Homens;60 a 64;2077
80001;Água Rasa;2015;Homens;65 a 69;1578
80001;Água Rasa;2015;Homens;70 a 74;1172
80001;Água Rasa;2015;Homens;75 e +;1910
80001;Água Rasa;2015;Mulheres;00 a 04;2394
80001;Água Rasa;2015;Mulheres;05 a 09;1895
80001;Água Rasa;2015;Mulheres;10 a 14;2025
80001;Água Rasa;2015;Mulheres;15 a 19;2252
80001;Água Rasa;2015;Mulheres;20 a 24;2616
80001;Água Rasa;2015;Mulheres;25 a 29;3158
80001;Água Rasa;2015;Mulheres;30 a 34;3436
80001;Água Rasa;2015;Mulheres;35 a 39;3699
80001;Água Rasa;2015;Mulheres;40 a 44;3161
80001;Água Rasa;2015;Mulheres;45 a 49;3167
80001;Água Rasa;2015;Mulheres;50 a 54;3355
80001;Água Rasa;2015;Mulheres;55 a 59;3191
80001;Água Rasa;2015;Mulheres;60 a 64;2775
80001;Água Rasa;2015;Mulheres;65 a 69;2375
80001;Água Rasa;2015;Mulheres;70 a 74;1807
80001;Água Rasa;2015;Mulheres;75 e +;3864
80001;Água Rasa;2020;Homens;00 a 04;2220
80001;Água Rasa;2020;Homens;05 a 09;2437
80001;Água Rasa;2020;Homens;10 a 14;1905
80001;Água Rasa;2020;Homens;15 a 19;1991
80001;Água Rasa;2020;Homens;20 a 24;2473
80001;Água Rasa;2020;Homens;25 a 29;2574
80001;Água Rasa;2020;Homens;30 a 34;3076
80001;Água Rasa;2020;Homens;35 a 39;3267
80001;Água Rasa;2020;Homens;40 a 44;3086
80001;Água Rasa;2020;Homens;45 a 49;2778
80001;Água Rasa;2020;Homens;50 a 54;2435
80001;Água Rasa;2020;Homens;55 a 59;2613
80001;Água Rasa;2020;Homens;60 a 64;2367
